,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
1213157,2016-09-26,230,OTHER MISCELLANEOUS CRIME,946,33.9759,-118.4156
1213326,2016-09-26,2140,BURGLARY,310,34.2575,-118.5023
1213763,2016-09-26,440,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1667,-118.3664
1213950,2016-09-26,1315,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0526,-118.2979
1213957,2016-09-26,2330,BATTERY - SIMPLE ASSAULT,624,34.0146,-118.3182
1214020,2016-09-26,1430,OTHER MISCELLANEOUS CRIME,946,34.0552,-118.3857
1214365,2016-09-26,1730,BRANDISH WEAPON,761,34.2201,-118.4337
1214551,2016-09-26,1900,BURGLARY,310,34.0542,-118.3445
1214651,2016-09-26,1240,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.9501,-118.2408
1214779,2016-09-26,1200,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.727,-118.3242
1215320,2016-09-26,1730,BRANDISH WEAPON,761,34.1847,-118.4487
1215565,2016-09-26,300,BURGLARY FROM VEHICLE,330,34.2271,-118.6019
1215714,2016-09-26,1956,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0407,-118.26799999999999
1215747,2016-09-26,1300,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,33.9345,-118.2623
1216546,2016-09-26,1,"BURGLARY, ATTEMPTED",320,34.0917,-118.2741
1216663,2016-09-26,1715,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,33.9933,-118.2761
1217102,2016-09-26,1000,BURGLARY,310,34.0618,-118.3214
1217110,2016-09-26,1315,BATTERY - SIMPLE ASSAULT,624,34.2572,-118.5885
1217182,2016-09-26,710,BURGLARY,310,34.2158,-118.4107
1217869,2016-09-26,830,BATTERY - SIMPLE ASSAULT,624,34.0401,-118.4285
1219211,2016-09-26,143,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.9718,-118.2761
1219227,2016-09-26,1120,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.977,-118.309
1219677,2016-09-26,2330,ROBBERY,210,34.0092,-118.2652
1219856,2016-09-26,2200,ROBBERY,210,34.0465,-118.4484
1220045,2016-09-26,450,DOCUMENT FORGERY / STOLEN FELONY,649,33.9433,-118.4072
1220953,2016-09-26,1200,THEFT OF IDENTITY,354,34.2031,-118.3823
1221106,2016-09-26,2359,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0654,-118.2992
1221382,2016-09-26,1330,BATTERY - SIMPLE ASSAULT,624,34.0137,-118.3435
1222100,2016-09-26,2030,BURGLARY FROM VEHICLE,330,34.0011,-118.2783
1222576,2016-09-26,1130,BURGLARY FROM VEHICLE,330,34.0534,-118.404
1223206,2016-09-26,1510,TRESPASSING,888,34.1654,-118.5203
1223774,2016-09-26,800,THEFT OF IDENTITY,354,33.9923,-118.287
1224020,2016-09-26,1755,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0622,-118.3429
1224523,2016-09-26,2000,VEHICLE - STOLEN,510,34.0783,-118.3372
1224553,2016-09-26,800,INDECENT EXPOSURE,850,34.1939,-118.4967
1224562,2016-09-26,1030,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.9471,-118.2367
1224625,2016-09-26,945,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0339,-118.2012
