,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
209238,2011-10-12,1138,ROBBERY,210,34.0478,-118.3284
209272,2011-10-12,1615,BURGLARY,310,34.0837,-118.3574
210432,2011-10-12,750,BURGLARY,310,33.7415,-118.2835
210503,2011-10-12,1500,VEHICLE - STOLEN,510,34.0854,-118.3157
210616,2011-10-12,2300,BURGLARY FROM VEHICLE,330,34.3216,-118.4958
211068,2011-10-12,830,BURGLARY,310,34.0408,-118.4211
211834,2011-10-12,1700,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0099,-118.3113
212314,2011-10-12,1200,THEFT OF IDENTITY,354,34.2645,-118.4566
212323,2011-10-12,1500,BURGLARY FROM VEHICLE,330,34.1299,-118.1923
212676,2011-10-12,2100,VEHICLE - STOLEN,510,34.0082,-118.2941
213467,2011-10-12,1200,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),812,33.9756,-118.2849
213598,2011-10-12,1745,LEWD CONDUCT,762,34.1374,-118.2941
213855,2011-10-12,2145,BURGLARY FROM VEHICLE,330,33.9303,-118.2493
214190,2011-10-12,1500,"SEX,UNLAWFUL(INC MUTUAL CONSENT, PENETRATION W/ FRGN OBJ",810,34.0496,-118.2677
214339,2011-10-12,2145,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0174,-118.2494
214801,2011-10-12,1700,THEFT OF IDENTITY,354,34.0909,-118.2855
215075,2011-10-12,1200,THEFT PLAIN - PETTY ($950 & UNDER),440,34.034,-118.4404
215688,2011-10-12,2030,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0019,-118.3113
216053,2011-10-12,2200,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.0276,-118.2082
216155,2011-10-12,1250,"THEFT, PERSON",350,34.1887,-118.4531
216200,2011-10-12,600,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.0545,-118.3074
216397,2011-10-12,1310,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,33.9941,-118.2915
216706,2011-10-12,1200,THEFT OF IDENTITY,354,34.0674,-118.4333
216967,2011-10-12,1210,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0072,-118.3373
217320,2011-10-12,2130,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.2267,-118.4414
217450,2011-10-12,100,VEHICLE - STOLEN,510,34.0818,-118.2845
218997,2011-10-12,800,THEFT PLAIN - PETTY ($950 & UNDER),440,34.2637,-118.4782
219410,2011-10-12,1500,THEFT PLAIN - PETTY ($950 & UNDER),440,33.9737,-118.2871
