,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
803975,2014-09-16,1445,BATTERY - SIMPLE ASSAULT,624,34.1867,-118.4181
805627,2014-09-16,1400,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.951,-118.2781
805855,2014-09-16,830,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0962,-118.3506
806624,2014-09-16,5,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.1827,-118.4509
806692,2014-09-16,1820,"THEFT, PERSON",350,34.0112,-118.26799999999999
807239,2014-09-16,1920,CHILD STEALING,922,34.0141,-118.3501
807344,2014-09-16,1200,OTHER MISCELLANEOUS CRIME,946,33.9483,-118.2329
807774,2014-09-16,2130,BURGLARY FROM VEHICLE,330,34.047,-118.395
808905,2014-09-16,950,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.056999999999995,-118.2691
809789,2014-09-16,1925,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0594,-118.3814
810249,2014-09-16,1605,ROBBERY,210,34.0423,-118.2452
810917,2014-09-16,2130,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1,-118.2805
811990,2014-09-16,825,BURGLARY,310,34.0416,-118.255
812079,2014-09-16,845,BATTERY - SIMPLE ASSAULT,624,34.0446,-118.245
813542,2014-09-16,1800,VEHICLE - STOLEN,510,33.9824,-118.2807
814066,2014-09-16,910,BURGLARY FROM VEHICLE,330,34.0507,-118.2636
814268,2014-09-16,1600,THEFT PLAIN - PETTY ($950 & UNDER),440,33.7334,-118.2924
814355,2014-09-16,625,VEHICLE - STOLEN,510,33.9892,-118.2844
814433,2014-09-16,2245,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.2107,-118.3507
815085,2014-09-16,2255,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.941,-118.2781
815374,2014-09-16,1,THEFT OF IDENTITY,354,34.174,-118.4345
816140,2014-09-16,2215,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1018,-118.2945
