,Code,Max_Count,Min_Count
0,110,1.0,2.0
1,121,5.0,5.0
2,210,16.0,22.0
3,220,1.0,3.0
4,230,18.0,29.0
5,236,3.0,3.0
6,237,2.0,0.0
7,310,43.0,36.0
8,320,5.0,4.0
9,330,51.0,47.0
10,331,6.0,11.0
11,341,14.0,14.0
12,350,3.0,3.0
13,354,39.0,21.0
14,410,1.0,0.0
15,420,24.0,26.0
16,437,1.0,3.0
17,440,45.0,45.0
18,441,2.0,1.0
19,442,14.0,20.0
20,471,1.0,0.0
21,480,9.0,1.0
22,510,31.0,43.0
23,622,1.0,0.0
24,623,3.0,0.0
25,624,64.0,38.0
26,626,35.0,24.0
27,627,1.0,0.0
28,649,8.0,4.0
29,651,1.0,0.0
30,661,1.0,0.0
31,662,5.0,0.0
32,664,1.0,1.0
33,740,20.0,33.0
34,745,31.0,34.0
35,755,1.0,0.0
36,761,3.0,0.0
37,763,2.0,1.0
38,812,1.0,0.0
39,815,2.0,0.0
40,850,1.0,0.0
41,860,5.0,2.0
42,886,2.0,0.0
43,888,8.0,3.0
44,900,5.0,4.0
45,901,4.0,2.0
46,910,1.0,1.0
47,922,2.0,0.0
48,930,20.0,10.0
49,932,1.0,1.0
50,933,1.0,1.0
51,946,7.0,2.0
52,950,1.0,0.0
53,956,2.0,4.0
54,251,0.0,4.0
55,343,0.0,3.0
56,433,0.0,1.0
57,648,0.0,3.0
58,653,0.0,1.0
59,654,0.0,1.0
60,666,0.0,1.0
61,670,0.0,1.0
62,753,0.0,1.0
63,810,0.0,1.0
64,813,0.0,2.0
65,821,0.0,1.0
66,928,0.0,1.0
67,951,0.0,1.0
