,Code,Max_Count,Min_Count
0,110,2.0,0.0
1,122,1.0,0.0
2,210,25.0,26.0
3,220,1.0,3.0
4,230,25.0,15.0
5,231,2.0,1.0
6,235,2.0,1.0
7,236,10.0,10.0
8,237,3.0,1.0
9,251,1.0,0.0
10,310,34.0,32.0
11,320,2.0,2.0
12,330,51.0,39.0
13,331,8.0,5.0
14,341,20.0,15.0
15,343,1.0,2.0
16,350,6.0,7.0
17,354,23.0,28.0
18,410,2.0,0.0
19,420,35.0,33.0
20,437,3.0,2.0
21,440,54.0,44.0
22,442,13.0,16.0
23,480,9.0,8.0
24,487,1.0,0.0
25,510,47.0,52.0
26,520,1.0,2.0
27,623,2.0,1.0
28,624,50.0,46.0
29,625,3.0,4.0
30,626,36.0,42.0
31,647,1.0,1.0
32,648,3.0,0.0
33,649,2.0,5.0
34,662,1.0,2.0
35,664,2.0,1.0
36,666,1.0,0.0
37,668,2.0,1.0
38,740,35.0,32.0
39,745,27.0,17.0
40,753,2.0,0.0
41,755,1.0,0.0
42,761,8.0,3.0
43,762,2.0,0.0
44,763,1.0,0.0
45,812,1.0,1.0
46,813,2.0,0.0
47,815,1.0,0.0
48,860,3.0,4.0
49,888,7.0,12.0
50,890,2.0,0.0
51,900,5.0,3.0
52,901,11.0,5.0
53,902,1.0,0.0
54,903,4.0,2.0
55,910,1.0,0.0
56,922,1.0,0.0
57,928,1.0,0.0
58,930,17.0,12.0
59,940,2.0,0.0
60,946,5.0,7.0
61,956,7.0,6.0
62,121,0.0,3.0
63,351,0.0,1.0
64,352,0.0,2.0
65,627,0.0,2.0
66,654,0.0,1.0
67,810,0.0,2.0
68,850,0.0,1.0
