,Code,Max_Count,Min_Count
0,110,1.0,0.0
1,121,3.0,4.0
2,210,26.0,21.0
3,220,4.0,3.0
4,230,30.0,34.0
5,236,9.0,9.0
6,310,48.0,67.0
7,320,1.0,4.0
8,330,47.0,55.0
9,331,9.0,14.0
10,341,15.0,25.0
11,343,1.0,2.0
12,350,10.0,6.0
13,354,39.0,27.0
14,410,2.0,0.0
15,420,22.0,41.0
16,440,50.0,41.0
17,442,17.0,16.0
18,443,2.0,1.0
19,480,7.0,4.0
20,510,33.0,57.0
21,520,2.0,0.0
22,624,61.0,57.0
23,625,9.0,3.0
24,626,35.0,30.0
25,627,3.0,1.0
26,648,1.0,0.0
27,649,3.0,4.0
28,660,1.0,0.0
29,662,5.0,1.0
30,664,3.0,1.0
31,668,1.0,3.0
32,740,33.0,41.0
33,745,22.0,14.0
34,760,1.0,0.0
35,761,12.0,7.0
36,812,1.0,0.0
37,813,2.0,0.0
38,815,1.0,0.0
39,821,1.0,0.0
40,822,3.0,0.0
41,850,1.0,0.0
42,860,4.0,4.0
43,888,8.0,7.0
44,890,1.0,0.0
45,900,13.0,3.0
46,901,8.0,8.0
47,902,2.0,2.0
48,903,1.0,2.0
49,930,18.0,13.0
50,943,1.0,0.0
51,946,2.0,2.0
52,951,1.0,2.0
53,956,3.0,3.0
54,122,0.0,1.0
55,250,0.0,1.0
56,623,0.0,1.0
57,647,0.0,1.0
58,654,0.0,1.0
59,661,0.0,1.0
60,755,0.0,1.0
61,762,0.0,2.0
62,820,0.0,1.0
63,886,0.0,1.0
64,940,0.0,1.0
