,Code,Max_Count,Min_Count
0,121,2.0,2.0
1,210,21.0,28.0
2,220,3.0,0.0
3,230,21.0,22.0
4,235,2.0,0.0
5,236,1.0,1.0
6,237,2.0,1.0
7,310,43.0,50.0
8,320,5.0,2.0
9,330,40.0,53.0
10,331,6.0,5.0
11,341,25.0,33.0
12,350,2.0,1.0
13,354,41.0,60.0
14,420,19.0,25.0
15,434,1.0,0.0
16,437,4.0,1.0
17,438,1.0,0.0
18,440,26.0,31.0
19,442,5.0,9.0
20,510,40.0,57.0
21,520,1.0,0.0
22,624,62.0,47.0
23,626,34.0,22.0
24,627,4.0,1.0
25,647,1.0,0.0
26,648,2.0,2.0
27,649,10.0,6.0
28,653,1.0,0.0
29,660,2.0,0.0
30,668,1.0,2.0
31,740,25.0,35.0
32,745,29.0,22.0
33,753,1.0,2.0
34,761,1.0,2.0
35,762,2.0,0.0
36,763,1.0,0.0
37,810,4.0,0.0
38,813,3.0,1.0
39,860,4.0,2.0
40,886,3.0,0.0
41,888,1.0,3.0
42,900,3.0,5.0
43,901,4.0,2.0
44,910,1.0,0.0
45,928,1.0,0.0
46,930,25.0,10.0
47,932,2.0,0.0
48,933,1.0,0.0
49,943,1.0,1.0
50,946,9.0,4.0
51,951,1.0,0.0
52,956,5.0,4.0
53,231,0.0,6.0
54,251,0.0,1.0
55,343,0.0,1.0
56,352,0.0,1.0
57,421,0.0,1.0
58,661,0.0,1.0
59,755,0.0,1.0
60,812,0.0,6.0
61,815,0.0,1.0
62,821,0.0,1.0
63,850,0.0,1.0
64,922,0.0,1.0
65,940,0.0,1.0
66,949,0.0,1.0
