,Code,Max_Count,Min_Count
0,110,1.0,0.0
1,121,2.0,1.0
2,210,22.0,15.0
3,220,3.0,3.0
4,230,27.0,9.0
5,237,1.0,3.0
6,251,1.0,1.0
7,310,49.0,42.0
8,320,4.0,3.0
9,330,38.0,52.0
10,331,7.0,9.0
11,341,23.0,18.0
12,343,2.0,0.0
13,350,5.0,5.0
14,354,36.0,50.0
15,420,32.0,25.0
16,437,1.0,1.0
17,440,64.0,29.0
18,441,1.0,0.0
19,442,10.0,14.0
20,480,3.0,1.0
21,510,39.0,34.0
22,623,1.0,1.0
23,624,63.0,33.0
24,626,36.0,18.0
25,627,1.0,1.0
26,647,1.0,0.0
27,648,4.0,2.0
28,649,7.0,5.0
29,660,2.0,0.0
30,662,2.0,1.0
31,664,1.0,1.0
32,668,1.0,1.0
33,740,34.0,19.0
34,745,12.0,19.0
35,755,1.0,2.0
36,761,2.0,4.0
37,763,2.0,1.0
38,812,3.0,3.0
39,813,4.0,2.0
40,821,1.0,1.0
41,850,2.0,2.0
42,860,2.0,0.0
43,886,1.0,1.0
44,888,6.0,7.0
45,900,6.0,3.0
46,901,5.0,3.0
47,928,3.0,1.0
48,930,10.0,12.0
49,933,1.0,0.0
50,940,2.0,0.0
51,946,4.0,3.0
52,950,1.0,0.0
53,956,8.0,4.0
54,235,0.0,3.0
55,236,0.0,2.0
56,410,0.0,3.0
57,434,0.0,1.0
58,943,0.0,1.0
59,951,0.0,1.0
