,Code,Max_Count,Min_Count
0,110,4.0,1.0
1,121,5.0,2.0
2,122,1.0,0.0
3,210,22.0,27.0
4,220,1.0,1.0
5,230,35.0,42.0
6,231,1.0,0.0
7,236,10.0,8.0
8,237,2.0,0.0
9,310,37.0,30.0
10,320,4.0,4.0
11,330,31.0,45.0
12,331,10.0,7.0
13,341,17.0,3.0
14,343,3.0,1.0
15,354,31.0,19.0
16,410,1.0,1.0
17,420,32.0,24.0
18,421,2.0,0.0
19,433,2.0,0.0
20,439,1.0,0.0
21,440,43.0,32.0
22,442,13.0,16.0
23,480,3.0,0.0
24,510,32.0,49.0
25,520,1.0,1.0
26,624,57.0,38.0
27,625,2.0,2.0
28,626,32.0,35.0
29,627,2.0,1.0
30,647,1.0,1.0
31,648,1.0,0.0
32,649,9.0,1.0
33,653,1.0,0.0
34,661,1.0,0.0
35,662,3.0,1.0
36,664,1.0,0.0
37,668,2.0,2.0
38,740,36.0,32.0
39,745,15.0,20.0
40,761,2.0,1.0
41,810,1.0,1.0
42,812,2.0,0.0
43,815,1.0,0.0
44,860,5.0,2.0
45,886,1.0,1.0
46,888,6.0,3.0
47,900,5.0,3.0
48,901,6.0,6.0
49,903,2.0,3.0
50,922,1.0,0.0
51,928,1.0,0.0
52,930,17.0,8.0
53,940,2.0,0.0
54,946,2.0,3.0
55,956,4.0,4.0
56,350,0.0,2.0
57,352,0.0,1.0
58,437,0.0,1.0
59,441,0.0,2.0
60,443,0.0,1.0
61,623,0.0,2.0
62,660,0.0,1.0
63,753,0.0,2.0
64,755,0.0,1.0
65,763,0.0,2.0
66,813,0.0,1.0
67,820,0.0,1.0
68,943,0.0,1.0
69,949,0.0,1.0
70,951,0.0,2.0
