,Code,Max_Count,Min_Count
0,121,3.0,2.0
1,210,26.0,11.0
2,220,5.0,3.0
3,230,19.0,26.0
4,235,2.0,1.0
5,237,3.0,1.0
6,251,3.0,4.0
7,310,35.0,42.0
8,320,1.0,9.0
9,330,55.0,46.0
10,331,6.0,9.0
11,341,18.0,18.0
12,350,6.0,5.0
13,354,34.0,58.0
14,410,5.0,0.0
15,420,16.0,22.0
16,421,1.0,1.0
17,434,1.0,0.0
18,437,1.0,1.0
19,440,55.0,42.0
20,442,7.0,10.0
21,480,1.0,0.0
22,510,56.0,46.0
23,623,3.0,0.0
24,624,67.0,47.0
25,626,40.0,15.0
26,627,1.0,0.0
27,647,2.0,1.0
28,648,1.0,0.0
29,649,6.0,7.0
30,662,2.0,1.0
31,668,3.0,2.0
32,740,32.0,40.0
33,745,30.0,29.0
34,761,3.0,4.0
35,763,1.0,2.0
36,810,2.0,2.0
37,812,7.0,1.0
38,813,2.0,2.0
39,850,2.0,0.0
40,860,7.0,3.0
41,888,4.0,4.0
42,900,10.0,6.0
43,901,7.0,5.0
44,903,1.0,0.0
45,910,1.0,1.0
46,928,2.0,0.0
47,930,16.0,13.0
48,943,2.0,0.0
49,946,6.0,8.0
50,951,1.0,0.0
51,956,11.0,7.0
52,231,0.0,4.0
53,236,0.0,1.0
54,343,0.0,2.0
55,433,0.0,1.0
56,441,0.0,1.0
57,474,0.0,2.0
58,653,0.0,1.0
59,753,0.0,5.0
60,820,0.0,1.0
61,886,0.0,1.0
62,902,0.0,1.0
63,922,0.0,1.0
