,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
998220,2015-12-27,20,BATTERY - SIMPLE ASSAULT,624,34.0423,-118.2666
998882,2015-12-27,2130,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0326,-118.335
999023,2015-12-27,1015,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.9661,-118.2849
999111,2015-12-27,910,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.165,-118.6233
999406,2015-12-27,1900,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.1356,-118.1945
999754,2015-12-27,2130,BURGLARY FROM VEHICLE,330,34.1939,-118.44
999892,2015-12-27,1210,ILLEGAL DUMPING,949,34.1875,-118.5633
999943,2015-12-27,20,ROBBERY,210,33.9601,-118.2717
1000038,2015-12-27,400,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.1101,-118.3215
1000382,2015-12-27,1930,VEHICLE - STOLEN,510,34.0173,-118.29799999999999
1000909,2015-12-27,1410,BURGLARY,310,34.1635,-118.5977
1001361,2015-12-27,800,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0601,-118.3629
1002246,2015-12-27,2000,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0821,-118.257
1002434,2015-12-27,1240,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0255,-118.2839
1002438,2015-12-27,145,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.2282,-118.5976
1003103,2015-12-27,1245,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.201,-118.5623
1003378,2015-12-27,1045,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9924,-118.2871
1004086,2015-12-27,2030,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.7899,-118.2975
1004114,2015-12-27,2359,BURGLARY,310,34.1758,-118.3746
1004380,2015-12-27,1453,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,33.7321,-118.295
1006505,2015-12-27,310,BURGLARY,310,33.7978,-118.3076
1006755,2015-12-27,1103,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,33.9538,-118.26299999999999
1006797,2015-12-27,1825,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.2322,-118.5113
1006989,2015-12-27,2100,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,33.7306,-118.2879
1007387,2015-12-27,2130,VEHICLE - STOLEN,510,34.0012,-118.4267
1007694,2015-12-27,2030,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0155,-118.3002
1007869,2015-12-27,1700,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0372,-118.195
1008078,2015-12-27,100,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0057,-118.2521
1008870,2015-12-27,1140,THEFT PLAIN - PETTY ($950 & UNDER),440,34.1267,-118.3316
1008886,2015-12-27,1300,BURGLARY,310,34.0264,-118.3721
1009327,2015-12-27,1430,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0452,-118.419
1009332,2015-12-27,700,VEHICLE - STOLEN,510,34.312,-118.4415
1009718,2015-12-27,1630,VEHICLE - STOLEN,510,33.7415,-118.2923
1009727,2015-12-27,615,"BURGLARY, ATTEMPTED",320,34.0596,-118.2701
1010539,2015-12-27,2020,"BURGLARY, ATTEMPTED",320,34.0782,-118.3509
1010572,2015-12-27,30,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.2267,-118.5
1011106,2015-12-27,1555,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,33.9348,-118.2781
1011422,2015-12-27,630,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0522,-118.2019
1011914,2015-12-27,1300,THEFT OF IDENTITY,354,33.9806,-118.3309
1012132,2015-12-27,1,BURGLARY,310,34.0489,-118.5342
1012646,2015-12-27,1130,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0163,-118.3536
1013551,2015-12-27,1600,BURGLARY,310,34.1758,-118.465
1013797,2015-12-27,1115,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.7811,-118.2676
1013817,2015-12-27,400,DISCHARGE FIREARMS/SHOTS FIRED,753,33.9962,-118.2411
1013839,2015-12-27,1830,BRANDISH WEAPON,761,33.7342,-118.2879
1013868,2015-12-27,2350,INTIMATE PARTNER - AGGRAVATED ASSAULT,236,34.1685,-118.4574
1014021,2015-12-27,1710,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9356,-118.2349
1014142,2015-12-27,2000,BURGLARY FROM VEHICLE,330,34.0579,-118.3226
1014228,2015-12-27,1500,ROBBERY,210,34.1888,-118.6059
1014603,2015-12-27,1030,ROBBERY,210,34.0255,-118.3002
1014621,2015-12-27,1900,BURGLARY FROM VEHICLE,330,34.0982,-118.2895
1014832,2015-12-27,840,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0386,-118.4515
1014835,2015-12-27,830,ATTEMPTED ROBBERY,220,34.0412,-118.3528
1014951,2015-12-27,1310,INTIMATE PARTNER - AGGRAVATED ASSAULT,236,33.9965,-118.274
1017234,2015-12-27,1000,VIOLATION OF COURT ORDER,900,34.2409,-118.4204
1017571,2015-12-27,25,CONTEMPT OF COURT,903,34.2067,-118.3856
1017954,2015-12-27,600,THEFT OF IDENTITY,354,33.7976,-118.2621
1018578,2015-12-27,2100,THEFT PLAIN - PETTY ($950 & UNDER),440,34.2394,-118.5059
1018789,2015-12-27,1952,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0588,-118.2706
1018889,2015-12-27,1245,BATTERY - SIMPLE ASSAULT,624,33.961,-118.2919
1019932,2015-12-27,2100,BURGLARY,310,34.1328,-118.1981
1020654,2015-12-27,2200,THEFT PLAIN - PETTY ($950 & UNDER),440,34.2108,-118.3719
1021442,2015-12-27,1930,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9584,-118.2608
1021616,2015-12-27,1510,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.010999999999996,-118.3351
1021875,2015-12-27,2215,"RAPE, FORCIBLE",121,34.0962,-118.3266
1022144,2015-12-27,1900,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.1805,-118.5975
1022385,2015-12-27,1900,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,33.9836,-118.3407
1022878,2015-12-27,1900,VEHICLE - STOLEN,510,34.0247,-118.3119
1023686,2015-12-27,1800,BURGLARY FROM VEHICLE,330,34.0527,-118.3021
1023877,2015-12-27,1945,BATTERY - SIMPLE ASSAULT,624,34.0183,-118.4289
1024579,2015-12-27,300,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,627,34.1169,-118.1846
1026479,2015-12-27,1800,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.1939,-118.4858
1026912,2015-12-27,1430,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.7379,-118.2901
1028567,2015-12-27,2305,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.194,-118.4247
1029024,2015-12-27,200,BURGLARY FROM VEHICLE,330,34.0527,-118.1969
1029096,2015-12-27,1000,BURGLARY FROM VEHICLE,330,34.0968,-118.2088
1029926,2015-12-27,2025,ROBBERY,210,34.0719,-118.2729
1030241,2015-12-27,1920,BATTERY - SIMPLE ASSAULT,624,33.9319,-118.2586
1030777,2015-12-27,1220,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.1016,-118.3267
1031221,2015-12-27,2030,"RAPE, FORCIBLE",121,34.058,-118.324
1031340,2015-12-27,55,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9682,-118.3112
1031749,2015-12-27,2330,VEHICLE - STOLEN,510,34.2301,-118.47200000000001
1032012,2015-12-27,2015,ROBBERY,210,34.0175,-118.346
1032648,2015-12-27,2000,BURGLARY FROM VEHICLE,330,34.0333,-118.2657
1033792,2015-12-27,1320,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.1036,-118.3137
1034077,2015-12-27,1500,BATTERY - SIMPLE ASSAULT,624,33.9773,-118.3718
1035752,2015-12-27,545,OTHER ASSAULT,625,34.0421,-118.2469
1036452,2015-12-27,2200,VEHICLE - STOLEN,510,33.7739,-118.2672
1036518,2015-12-27,1740,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.9315,-118.2335
1037285,2015-12-27,2000,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.1903,-118.5335
1037704,2015-12-27,930,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.036,-118.289
1037931,2015-12-27,1500,VEHICLE - STOLEN,510,34.0612,-118.2417
1038156,2015-12-27,1555,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.061,-118.2775
1038761,2015-12-27,1700,"BURGLARY FROM VEHICLE, ATTEMPTED",410,34.0428,-118.2532
1039814,2015-12-27,1900,VEHICLE - STOLEN,510,34.2071,-118.5754
1039889,2015-12-27,1900,INTIMATE PARTNER - AGGRAVATED ASSAULT,236,34.1959,-118.391
1041112,2015-12-27,1020,BATTERY - SIMPLE ASSAULT,624,34.1086,-118.1898
1041182,2015-12-27,1830,BURGLARY FROM VEHICLE,330,33.7907,-118.2827
1041237,2015-12-27,1940,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,33.8457,-118.3066
1041284,2015-12-27,1900,VEHICLE - STOLEN,510,34.0253,-118.1923
1041320,2015-12-27,1000,THEFT OF IDENTITY,354,34.1686,-118.5186
1041960,2015-12-27,1,"BURGLARY, ATTEMPTED",320,34.1077,-118.1861
1041965,2015-12-27,1630,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.0124,-118.3351
1042462,2015-12-27,1400,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",668,34.2037,-118.421
1042764,2015-12-27,245,VIOLATION OF RESTRAINING ORDER,901,33.9906,-118.3044
1042768,2015-12-27,145,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0917,-118.2741
1042935,2015-12-27,1200,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.3261,-118.4889
1043277,2015-12-27,2045,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.2242,-118.6301
1043279,2015-12-27,1600,VEHICLE - STOLEN,510,33.8834,-118.2913
1044368,2015-12-27,1800,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9533,-118.2446
1044747,2015-12-27,1900,ROBBERY,210,34.0436,-118.3033
1044953,2015-12-27,10,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.1056,-118.2008
1045497,2015-12-27,2130,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.2264,-118.4441
1045881,2015-12-27,1855,ROBBERY,210,34.0146,-118.3045
1047132,2015-12-27,330,STALKING,763,33.9564,-118.3145
1047741,2015-12-27,800,BURGLARY,310,34.0356,-118.4419
