,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
1896163,2019-09-15,1100,BURGLARY,310,33.7938,-118.2999
1896195,2019-09-15,1750,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.2248,-118.4918
1896299,2019-09-15,227,BURGLARY,310,34.1556,-118.3703
1896316,2019-09-15,1120,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.0314,-118.3959
1896391,2019-09-15,1835,BATTERY - SIMPLE ASSAULT,624,34.0093,-118.2543
1896902,2019-09-15,1600,ROBBERY,210,34.2227,-118.5361
1897163,2019-09-15,1730,VEHICLE - STOLEN,510,33.9644,-118.2827
1897303,2019-09-15,5,FALSE POLICE REPORT,439,34.0132,-118.2603
1897942,2019-09-15,45,BATTERY POLICE (SIMPLE),623,34.0495,-118.2563
1898239,2019-09-15,1430,BATTERY WITH SEXUAL CONTACT,860,34.0426,-118.2528
1898905,2019-09-15,1000,THEFT PLAIN - PETTY ($950 & UNDER),440,34.1962,-118.3911
1899414,2019-09-15,1800,BURGLARY FROM VEHICLE,330,34.2229,-118.5317
1899871,2019-09-15,1300,BURGLARY,310,33.9477,-118.2309
1899930,2019-09-15,300,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9348,-118.2739
1900162,2019-09-15,2125,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.9575,-118.3916
1900467,2019-09-15,530,INTIMATE PARTNER - AGGRAVATED ASSAULT,236,34.0376,-118.3324
1900964,2019-09-15,2330,BATTERY - SIMPLE ASSAULT,624,33.8303,-118.3065
1901276,2019-09-15,1815,BATTERY - SIMPLE ASSAULT,624,34.2267,-118.4704
1901805,2019-09-15,2055,THEFT PLAIN - PETTY ($950 & UNDER),440,34.1665,-118.5859
1902259,2019-09-15,2345,ROBBERY,210,33.9747,-118.2871
1902880,2019-09-15,2200,ROBBERY,210,34.2643,-118.4246
1903118,2019-09-15,1700,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0327,-118.3101
1903419,2019-09-15,1100,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0691,-118.2954
1903595,2019-09-15,2340,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.0236,-118.2393
1903628,2019-09-15,945,TRESPASSING,888,34.0137,-118.3435
1903728,2019-09-15,100,BURGLARY FROM VEHICLE,330,34.0173,-118.3224
1903761,2019-09-15,1000,VEHICLE - STOLEN,510,34.0518,-118.2637
1904191,2019-09-15,1640,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",668,34.099000000000004,-118.2884
1904250,2019-09-15,1400,VEHICLE - STOLEN,510,34.2108,-118.573
1904707,2019-09-15,1500,VEHICLE - ATTEMPT STOLEN,520,34.2537,-118.477
1904804,2019-09-15,1200,BATTERY - SIMPLE ASSAULT,624,34.1017,-118.355
1905247,2019-09-15,1530,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.9995,-118.4347
1905271,2019-09-15,1700,BURGLARY FROM VEHICLE,330,34.0598,-118.3225
1906031,2019-09-15,930,INTIMATE PARTNER - AGGRAVATED ASSAULT,236,34.0325,-118.4439
1906241,2019-09-15,1120,VEHICLE - STOLEN,510,33.9738,-118.4248
1906261,2019-09-15,2320,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0761,-118.3669
