,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
1213483,2016-12-19,1400,VEHICLE - STOLEN,510,34.0799,-118.3068
1213681,2016-12-19,200,THEFT OF IDENTITY,354,33.9926,-118.4378
1213736,2016-12-19,30,THEFT PLAIN - PETTY ($950 & UNDER),440,33.7756,-118.2621
1213859,2016-12-19,1715,BATTERY - SIMPLE ASSAULT,624,34.2391,-118.4502
1214152,2016-12-19,100,OTHER MISCELLANEOUS CRIME,946,34.2728,-118.4149
1214153,2016-12-19,2130,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.2408,-118.2667
1214434,2016-12-19,600,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0244,-118.3968
1214680,2016-12-19,245,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.1038,-118.2013
1214907,2016-12-19,2100,VEHICLE - STOLEN,510,33.9696,-118.2739
1214911,2016-12-19,200,VIOLATION OF COURT ORDER,900,34.0516,-118.4398
1215124,2016-12-19,1200,THEFT OF IDENTITY,354,34.1956,-118.5731
1215745,2016-12-19,2300,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0435,-118.2471
1215991,2016-12-19,1,VEHICLE - STOLEN,510,34.1907,-118.4555
1216858,2016-12-19,325,BURGLARY FROM VEHICLE,330,34.1016,-118.35
1217287,2016-12-19,1700,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0418,-118.3225
1217870,2016-12-19,640,BURGLARY,310,34.079,-118.3273
1218322,2016-12-19,445,BATTERY - SIMPLE ASSAULT,624,33.9563,-118.2915
1218441,2016-12-19,15,VEHICLE - STOLEN,510,34.1958,-118.4553
1219165,2016-12-19,140,BURGLARY,310,34.2355,-118.5951
1219376,2016-12-19,1000,VEHICLE - STOLEN,510,34.1017,-118.3594
1219525,2016-12-19,900,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,33.9428,-118.4054
1221348,2016-12-19,1820,"CREDIT CARDS, FRAUD USE ($950.01 & OVER)",653,33.9997,-118.2634
