,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
6930,2010-12-31,1240,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,34.035,-118.2615
6934,2010-12-31,1330,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0461,-118.2476
6938,2010-12-31,945,BATTERY - SIMPLE ASSAULT,624,34.0369,-118.2607
15315,2010-12-31,430,ROBBERY,210,34.0507,-118.2776
15316,2010-12-31,400,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0438,-118.2761
15323,2010-12-31,1000,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0568,-118.2821
15324,2010-12-31,400,ROBBERY,210,34.0596,-118.2749
16065,2010-12-31,600,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0108,-118.3193
28451,2010-12-31,150,VEHICLE - STOLEN,510,34.0256,-118.3351
28453,2010-12-31,600,VEHICLE - STOLEN,510,34.0155,-118.3002
28454,2010-12-31,1030,VEHICLE - STOLEN,510,34.0102,-118.3351
28456,2010-12-31,935,ROBBERY,210,34.0327,-118.3002
28487,2010-12-31,1130,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0326,-118.335
28491,2010-12-31,900,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0351,-118.3201
28492,2010-12-31,1530,ROBBERY,210,34.0327,-118.309
28494,2010-12-31,800,BURGLARY FROM VEHICLE,330,34.0251,-118.27799999999999
28496,2010-12-31,1545,BATTERY - SIMPLE ASSAULT,624,34.0256,-118.3189
28497,2010-12-31,1500,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0146,-118.3338
28498,2010-12-31,2110,DISCHARGE FIREARMS/SHOTS FIRED,753,34.0182,-118.2944
29016,2010-12-31,2000,BURGLARY,310,34.0486,-118.2192
35621,2010-12-31,100,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.0485,-118.2115
35624,2010-12-31,1530,VEHICLE - STOLEN,510,34.0708,-118.2155
36924,2010-12-31,1100,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.7771,-118.2753
36929,2010-12-31,500,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.727,-118.2841
36930,2010-12-31,2340,INTIMATE PARTNER - AGGRAVATED ASSAULT,236,33.7735,-118.2749
44814,2010-12-31,1000,VEHICLE - STOLEN,510,33.7876,-118.2452
44815,2010-12-31,900,BURGLARY FROM VEHICLE,330,33.7817,-118.2574
53659,2010-12-31,100,ROBBERY,210,34.1017,-118.3224
53661,2010-12-31,150,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.1017,-118.318
53669,2010-12-31,730,BURGLARY FROM VEHICLE,330,34.0962,-118.3288
61469,2010-12-31,1000,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.0761,-118.3731
61471,2010-12-31,130,BURGLARY FROM VEHICLE,330,34.0467,-118.3738
61474,2010-12-31,900,OTHER MISCELLANEOUS CRIME,946,34.0399,-118.3225
61475,2010-12-31,900,OTHER MISCELLANEOUS CRIME,946,34.0399,-118.3225
61477,2010-12-31,755,INDECENT EXPOSURE,850,34.0509,-118.3516
61478,2010-12-31,1400,VEHICLE - STOLEN,510,34.0761,-118.3753
61481,2010-12-31,1630,VEHICLE - STOLEN,510,34.0399,-118.3375
61482,2010-12-31,1530,ROBBERY,210,34.0399,-118.3213
62152,2010-12-31,1320,BURGLARY,310,34.0314,-118.3998
62153,2010-12-31,1055,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0419,-118.4247
69192,2010-12-31,5,BURGLARY FROM VEHICLE,330,34.032,-118.5155
69626,2010-12-31,1620,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.1721,-118.4463
69629,2010-12-31,2030,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.1939,-118.4717
69630,2010-12-31,1530,OTHER MISCELLANEOUS CRIME,946,34.203,-118.4575
78788,2010-12-31,1230,ROBBERY,210,34.1827,-118.4487
78790,2010-12-31,1640,VEHICLE - STOLEN,510,34.1685,-118.4574
78791,2010-12-31,900,BURGLARY,310,34.2057,-118.4531
87516,2010-12-31,830,VEHICLE - STOLEN,510,34.2012,-118.4749
87518,2010-12-31,1300,THEFT PLAIN - PETTY ($950 & UNDER),440,34.1724,-118.5308
87522,2010-12-31,1600,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.1857,-118.5535
87525,2010-12-31,1400,BATTERY - SIMPLE ASSAULT,624,34.2029,-118.5607
87526,2010-12-31,1430,BATTERY - SIMPLE ASSAULT,624,34.1903,-118.4836
87527,2010-12-31,1430,BATTERY - SIMPLE ASSAULT,624,34.1903,-118.4836
87529,2010-12-31,1130,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.203,-118.5361
87533,2010-12-31,1835,ROBBERY,210,34.203,-118.5361
87534,2010-12-31,1845,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.2084,-118.5077
87535,2010-12-31,1820,ROBBERY,210,34.1601,-118.4696
87536,2010-12-31,1700,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",956,34.2029,-118.5607
88078,2010-12-31,2010,ROBBERY,210,34.1152,-118.1846
97673,2010-12-31,30,BATTERY - SIMPLE ASSAULT,624,34.1207,-118.1934
97676,2010-12-31,150,BATTERY - SIMPLE ASSAULT,624,34.1241,-118.2208
97677,2010-12-31,1300,VEHICLE - STOLEN,510,34.106,-118.2566
97680,2010-12-31,910,BATTERY - SIMPLE ASSAULT,624,34.1002,-118.2038
97685,2010-12-31,1835,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.092,-118.2586
97686,2010-12-31,1425,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0825,-118.2521
97687,2010-12-31,1610,BURGLARY FROM VEHICLE,330,34.1027,-118.2363
97688,2010-12-31,1200,BURGLARY FROM VEHICLE,330,34.1122,-118.2918
97689,2010-12-31,1430,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.0831,-118.2509
97958,2010-12-31,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9806,-118.3338
97959,2010-12-31,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9806,-118.3338
111521,2010-12-31,110,BATTERY - SIMPLE ASSAULT,624,33.9681,-118.3308
111526,2010-12-31,800,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,33.9746,-118.2918
111527,2010-12-31,215,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9909,-118.3247
111534,2010-12-31,1025,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.9773,-118.2892
111546,2010-12-31,1530,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.9987,-118.2937
111547,2010-12-31,1555,BOMB SCARE,755,33.9708,-118.2783
111548,2010-12-31,1430,INTIMATE PARTNER - SIMPLE ASSAULT,626,33.9728,-118.3134
111549,2010-12-31,815,CHILD ANNOYING (17YRS & UNDER),813,33.9718,-118.2813
121213,2010-12-31,115,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.001,-118.2478
121214,2010-12-31,115,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.001,-118.2478
121222,2010-12-31,1400,VEHICLE - STOLEN,510,34.0181,-118.2689
121223,2010-12-31,1715,ROBBERY,210,33.9974,-118.274
131867,2010-12-31,1130,"RAPE, FORCIBLE",121,33.9877,-118.4723
131871,2010-12-31,1100,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0018,-118.4688
143221,2010-12-31,2230,VEHICLE - STOLEN,510,34.0188,-118.2549
143327,2010-12-31,1800,VEHICLE - STOLEN,510,34.056999999999995,-118.2691
143698,2010-12-31,1800,VEHICLE - STOLEN,510,34.233000000000004,-118.4553
150092,2010-12-31,1000,VEHICLE - STOLEN,510,34.2738,-118.4507
151675,2010-12-31,1000,VEHICLE - STOLEN,510,34.2395,-118.3971
151676,2010-12-31,2135,VEHICLE - STOLEN,510,34.2439,-118.4164
152213,2010-12-31,1530,BATTERY - SIMPLE ASSAULT,624,34.241,-118.4774
161840,2010-12-31,1215,VEHICLE - STOLEN,510,34.254,-118.5176
161841,2010-12-31,430,BURGLARY FROM VEHICLE,330,34.2579,-118.5687
161847,2010-12-31,1347,SHOPLIFTING - PETTY THEFT ($950 & UNDER),442,34.2304,-118.5623
161849,2010-12-31,630,THEFT PLAIN - PETTY ($950 & UNDER),440,34.2748,-118.5621
172482,2010-12-31,330,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9287,-118.2565
172488,2010-12-31,1815,VEHICLE - STOLEN,510,33.9483,-118.2739
172490,2010-12-31,1000,BURGLARY,310,33.9456,-118.2695
172491,2010-12-31,1100,BURGLARY FROM VEHICLE,330,33.9456,-118.2717
172492,2010-12-31,915,BURGLARY FROM VEHICLE,330,33.9419,-118.2587
172493,2010-12-31,900,CRIMINAL THREATS - NO WEAPON DISPLAYED,930,33.9472,-118.2739
172897,2010-12-31,500,BURGLARY FROM VEHICLE,330,34.3108,-118.4282
172898,2010-12-31,1400,ROBBERY,210,34.2282,-118.4592
172899,2010-12-31,2220,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.2248,-118.4516
182452,2010-12-31,15,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.2248,-118.4516
