,Date,Time,Crm_Desc,Crm_Cd,Lat,Lon
803180,2014-12-27,800,VEHICLE - STOLEN,510,34.0392,-118.4358
804336,2014-12-27,1000,VIOLATION OF COURT ORDER,900,34.1722,-118.3844
805847,2014-12-27,1000,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.2065,-118.6044
806354,2014-12-27,600,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,33.9882,-118.4698
806429,2014-12-27,645,BURGLARY,310,34.1831,-118.3899
806516,2014-12-27,840,BURGLARY FROM VEHICLE,330,33.9456,-118.2781
806535,2014-12-27,1900,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.053000000000004,-118.1952
806627,2014-12-27,1900,VEHICLE - STOLEN,510,34.1608,-118.3757
807068,2014-12-27,1700,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.1379,-118.2196
807083,2014-12-27,1915,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0028,-118.3149
807319,2014-12-27,220,BURGLARY,310,33.9804,-118.4646
807755,2014-12-27,200,BIKE - STOLEN,480,34.0496,-118.3428
807838,2014-12-27,1900,BURGLARY FROM VEHICLE,330,34.1608,-118.3757
807864,2014-12-27,1600,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.3033,-118.414
808258,2014-12-27,2240,ROBBERY,210,34.0713,-118.2291
808438,2014-12-27,1500,VEHICLE - STOLEN,510,34.0885,-118.3033
808607,2014-12-27,1530,INTIMATE PARTNER - AGGRAVATED ASSAULT,236,34.221,-118.5798
809715,2014-12-27,215,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0749,-118.2868
810235,2014-12-27,1600,THEFT PLAIN - PETTY ($950 & UNDER),440,33.9964,-118.4575
810981,2014-12-27,1,STALKING,763,34.0265,-118.2723
811992,2014-12-27,1730,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,33.9656,-118.2842
812022,2014-12-27,235,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0466,-118.2685
812321,2014-12-27,2230,BATTERY - SIMPLE ASSAULT,624,34.0446,-118.245
812328,2014-12-27,1500,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),420,34.0037,-118.2915
813141,2014-12-27,1200,BURGLARY,310,34.2391,-118.55799999999999
813460,2014-12-27,2130,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.1707,-118.5244
813642,2014-12-27,10,THEFT PLAIN - PETTY ($950 & UNDER),440,34.0146,-118.3182
813724,2014-12-27,1800,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.234,-118.5025
813895,2014-12-27,1836,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.2834,-118.4183
814412,2014-12-27,200,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,34.0885,-118.3078
814726,2014-12-27,1000,"BURGLARY, ATTEMPTED",320,33.9438,-118.2695
815294,2014-12-27,2200,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),331,34.0233,-118.42
815348,2014-12-27,255,BURGLARY FROM VEHICLE,330,33.861999999999995,-118.2967
815415,2014-12-27,1200,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0045,-118.4448
815490,2014-12-27,1810,BATTERY - SIMPLE ASSAULT,624,34.0396,-118.3491
816309,2014-12-27,1930,VANDALISM - MISDEAMEANOR ($399 OR UNDER),745,33.9619,-118.2695
817186,2014-12-27,1200,THEFT OF IDENTITY,354,34.2157,-118.3703
817327,2014-12-27,2000,VEHICLE - STOLEN,510,33.9383,-118.2565
817602,2014-12-27,1055,INTIMATE PARTNER - SIMPLE ASSAULT,626,34.0504,-118.3442
817918,2014-12-27,100,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",740,34.0617,-118.3135
818574,2014-12-27,2300,BATTERY - SIMPLE ASSAULT,624,34.045,-118.264
818654,2014-12-27,1045,ROBBERY,210,34.0342,-118.2636
818704,2014-12-27,1710,BATTERY - SIMPLE ASSAULT,624,34.0558,-118.3649
818975,2014-12-27,310,ROBBERY,210,33.9798,-118.2813
819242,2014-12-27,550,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",230,34.0524,-118.3343
819765,2014-12-27,1115,BATTERY - SIMPLE ASSAULT,624,34.0907,-118.1894
820354,2014-12-27,900,CHILD ANNOYING (17YRS & UNDER),813,34.0452,-118.1994
820770,2014-12-27,1930,THEFT OF IDENTITY,354,34.1811,-118.6176
820941,2014-12-27,1200,"EMBEZZLEMENT, PETTY THEFT ($950 & UNDER)",670,34.0406,-118.4275
821112,2014-12-27,2030,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",341,34.0472,-118.4691
